# RSSI Measurement Log
# Date: 20250430_152712
# Frequency: 433.0 MHz
# Gain: 20 dB
# Measurement	RSSI (dB)
43.5246447,-5.6342483,-5.5,0.61,13:27:15+00:00
43.5246425,-5.6342649,-5.5,0.59,13:27:20+00:00
43.5246411,-5.6342685,-5.5,0.59,13:27:24+00:00
43.5246395,-5.6342726,-5.5,0.57,13:27:28+00:00
43.5246382,-5.6342758,-5.5,0.6,13:27:32+00:00
43.5246358,-5.6342701,-86.64,0.57,13:27:36+00:00
43.5246308,-5.6342587,-86.73,0.57,13:27:40+00:00
43.5246278,-5.6342486,-86.7,0.57,13:27:44+00:00
43.5246273,-5.6342472,-86.71,0.57,13:27:48+00:00
43.5246234,-5.6342441,-88.27,0.59,13:27:52+00:00
