epoch,timestamp_ms,tag1_anchor_count,tag1_avg_rssi,tag1_solve_ok,tag1_x,tag1_y,tag1_z,tag1_rmse_m,tag2_anchor_count,tag2_avg_rssi,tag2_solve_ok,tag2_x,tag2_y,tag2_z,tag2_rmse_m,fused_tag,fused_x,fused_y,fused_z,fused_rmse_m,flags
29,109065.0,3,-85.168,False,,,,,4,-84.723,True,3.3266,-2.7276,1.396,0.0735,2,3.3342,-2.7295,1.4028,0.0735,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
30,109365.0,3,-85.161,False,,,,,4,-84.986,True,3.3222,-2.7264,1.3991,0.0695,2,3.33,-2.7284,1.4015,0.0695,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
31,109865.0,3,-85.014,False,,,,,4,-85.044,True,3.3074,-2.7141,1.4102,0.0597,2,3.3221,-2.7234,1.4046,0.0597,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
32,110265.0,3,-86.016,False,,,,,4,-84.955,True,3.2896,-2.7264,1.4148,0.0579,2,3.3107,-2.7245,1.4081,0.0579,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
33,110570.0,3,-85.144,False,,,,,4,-85.075,True,3.2941,-2.7328,1.4184,0.0582,2,3.3049,-2.7274,1.4117,0.0582,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
34,111020.5,3,-85.221,False,,,,,4,-84.884,True,3.2873,-2.7597,1.4369,0.0723,2,3.2987,-2.7387,1.4205,0.0723,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
35,111291.0,3,-84.898,False,,,,,4,-85.127,True,3.2964,-2.7587,1.4411,0.0744,2,3.2979,-2.7457,1.4277,0.0744,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
36,111665.0,3,-84.515,False,,,,,4,-85.16,True,3.3141,-2.7467,1.4334,0.0637,2,3.3036,-2.7461,1.4297,0.0637,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
37,111965.0,3,-84.282,False,,,,,4,-85.046,True,3.3211,-2.7397,1.4275,0.0572,2,3.3097,-2.7438,1.429,0.0572,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
38,112465.0,3,-84.566,False,,,,,4,-85.151,True,3.3141,-2.7419,1.4301,0.0467,2,3.3112,-2.7432,1.4294,0.0467,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
39,112765.0,3,-84.656,False,,,,,4,-85.047,True,3.2931,-2.7495,1.4395,0.05,2,3.3049,-2.7454,1.4329,0.05,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
40,113070.5,3,-84.45,False,,,,,4,-85.301,True,3.2775,-2.7581,1.4525,0.0545,2,3.2953,-2.7498,1.4398,0.0545,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
41,113515.5,3,-84.557,False,,,,,4,-85.424,True,3.3067,-2.7393,1.4484,0.0705,2,3.2993,-2.7462,1.4428,0.0705,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
42,113790.5,3,-84.401,False,,,,,4,-85.438,True,3.3157,-2.7337,1.4416,0.0758,2,3.305,-2.7418,1.4424,0.0758,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
43,114165.0,3,-84.509,False,,,,,4,-85.351,True,3.3578,-2.7173,1.4413,0.0843,2,3.3235,-2.7332,1.442,0.0843,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
44,114665.0,3,-84.591,False,,,,,4,-85.323,True,3.3271,-2.7398,1.4765,0.0655,2,3.3248,-2.7355,1.4541,0.0655,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
45,115065.0,3,-84.627,False,,,,,4,-85.511,True,3.3135,-2.7465,1.4958,0.0612,2,3.3208,-2.7394,1.4687,0.0612,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
46,115470.5,3,-84.712,False,,,,,4,-85.387,True,3.3162,-2.7431,1.4874,0.0548,2,3.3192,-2.7407,1.4752,0.0548,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
47,115695.0,3,-84.804,False,,,,,4,-85.49,True,3.3177,-2.7365,1.4662,0.0467,2,3.3187,-2.7392,1.4721,0.0467,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
48,116090.5,3,-84.924,False,,,,,4,-85.404,True,3.3517,-2.7104,1.4197,0.0742,2,3.3302,-2.7291,1.4537,0.0742,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
49,116365.0,3,-85.883,False,,,,,4,-85.367,True,3.3784,-2.6879,1.4142,0.098,2,3.3471,-2.7147,1.4399,0.098,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
50,116865.0,3,-84.731,False,,,,,4,-85.416,True,3.3885,-2.6748,1.4195,0.1062,2,3.3616,-2.7007,1.4328,0.1062,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
51,117165.0,3,-84.976,False,,,,,4,-85.406,True,3.3816,-2.6728,1.4361,0.1002,2,3.3686,-2.691,1.4339,0.1002,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
52,117665.0,3,-85.151,False,,,,,4,-85.242,True,3.3808,-2.6772,1.435,0.0918,2,3.3729,-2.6862,1.4343,0.0918,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
53,117870.0,3,-85.282,False,,,,,4,-85.302,True,3.3854,-2.6728,1.4307,0.0896,2,3.3773,-2.6815,1.433,0.0896,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
54,118413.0,3,-85.586,False,,,,,5,-85.894,True,3.4215,-2.6181,1.719,0.184,2,3.3927,-2.6593,1.5331,0.184,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
55,118667.5,3,-85.195,False,,,,,5,-85.623,True,3.3855,-2.6492,1.49,0.1095,2,3.3902,-2.6557,1.518,0.1095,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
56,118967.5,3,-84.93,False,,,,,5,-85.738,True,3.3592,-2.6786,1.3814,0.0665,2,3.3794,-2.6637,1.4702,0.0665,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
57,119367.5,3,-84.029,False,,,,,5,-86.023,True,3.3214,-2.7071,1.3439,0.0409,2,3.3591,-2.6789,1.426,0.0409,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
58,119767.5,3,-86.475,False,,,,,5,-84.936,True,3.2909,-2.7463,1.4034,0.0334,2,3.3352,-2.7025,1.4181,0.0334,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
59,120175.0,3,-85.336,False,,,,,4,-83.315,True,3.4007,-2.794,1.4671,0.098,2,3.3581,-2.7345,1.4353,0.098,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
60,120493.5,4,-85.295,True,3.3964,-1.9633,-0.1673,0.2289,4,-83.956,True,3.5615,-2.8131,1.4931,0.1377,2,3.4293,-2.762,1.4555,0.1377,weak_height_geometry
61,120970.0,3,-84.142,False,,,,,4,-83.579,True,3.5909,-2.8252,1.5384,0.1458,2,3.4858,-2.7841,1.4845,0.1458,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
62,121265.0,3,-84.302,False,,,,,4,-84.204,True,3.5827,-2.8302,1.5587,0.1505,2,3.5197,-2.8003,1.5105,0.1505,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
63,121565.0,3,-83.875,False,,,,,4,-84.561,True,3.5712,-2.8227,1.548,0.1496,2,3.5377,-2.8081,1.5236,0.1496,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
64,121968.0,3,-83.965,False,,,,,3,-82.283,False,,,,,,,,,,tag1_no_3d_fix;tag2_no_3d_fix;both_tags_no_3d_fix
65,122365.0,3,-83.989,False,,,,,4,-84.92,True,3.5492,-2.8076,1.5594,0.1631,2,3.5417,-2.8079,1.5362,0.1631,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
66,122790.0,3,-83.187,False,,,,,4,-84.767,True,3.5396,-2.8193,1.519,0.1564,2,3.541,-2.8119,1.5301,0.1564,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
67,123187.5,4,-84.479,True,3.5802,-2.5014,1.354,0.0526,4,-85.107,True,3.5379,-2.815,1.5313,0.1583,2,3.5399,-2.813,1.5305,0.1583,weak_height_geometry
68,123667.0,4,-84.336,True,3.5957,-2.4986,1.3544,0.0518,4,-83.795,True,3.5603,-2.7968,1.5544,0.1707,2,3.547,-2.8073,1.5389,0.1707,weak_height_geometry
69,123967.0,4,-84.893,True,3.6071,-2.5042,1.3524,0.0476,4,-83.667,True,3.565,-2.7936,1.5578,0.1761,2,3.5533,-2.8025,1.5455,0.1761,weak_height_geometry
70,124172.5,3,-84.062,False,,,,,5,-85.607,True,3.5687,-2.7996,1.6185,0.1591,2,3.5587,-2.8015,1.5711,0.1591,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
71,124668.0,2,-84.698,False,,,,,4,-84.358,True,3.5944,-2.7736,1.5,0.1266,2,3.5712,-2.7917,1.5462,0.1266,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
72,124863.0,2,-87.218,False,,,,,4,-84.614,True,3.5819,-2.7789,1.5,0.1114,2,3.5749,-2.7873,1.53,0.1114,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
73,125288.5,2,-85.45,False,,,,,4,-85.412,True,3.399,-2.7788,1.5286,0.0962,2,3.5134,-2.7843,1.5295,0.0962,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
74,125503.5,2,-84.444,False,,,,,4,-85.204,True,3.3402,-2.7529,1.5126,0.0864,2,3.4528,-2.7733,1.5236,0.0864,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
75,125783.5,2,-84.043,False,,,,,4,-85.092,True,3.2865,-2.7375,1.4973,0.0836,2,3.3946,-2.7608,1.5144,0.0836,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
76,126163.0,2,-82.195,False,,,,,4,-83.943,True,3.2897,-2.7252,1.4852,0.085,2,3.3579,-2.7483,1.5042,0.085,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
77,126769.5,4,-85.66,True,3.5326,-2.6261,1.5211,0.1109,5,-83.402,True,3.3301,-2.7511,1.4812,0.0889,2,3.3482,-2.7493,1.4961,0.0889,weak_height_geometry
78,126969.5,4,-86.183,True,3.5562,-2.6184,1.5116,0.1202,5,-85.072,True,3.4071,-2.7818,1.4999,0.0854,2,3.3688,-2.7607,1.4975,0.0854,weak_height_geometry
79,127394.5,5,-86.722,True,3.5527,-2.5759,1.4486,0.1441,4,-83.102,True,3.5203,-2.8057,1.4641,0.0879,1,3.4332,-2.696,1.4804,0.1441,weak_height_geometry
80,127890.0,5,-85.64,True,3.5063,-2.6033,1.443,0.124,4,-84.191,True,3.5447,-2.8048,1.4325,0.0924,1,3.4588,-2.6636,1.4673,0.124,weak_height_geometry
81,128090.0,5,-85.112,True,3.4243,-2.6262,1.449,0.1105,4,-82.766,True,3.5485,-2.7822,1.4128,0.1044,1,3.4467,-2.6505,1.4609,0.1105,weak_height_geometry
82,128569.5,5,-85.287,True,3.3595,-2.6589,1.4328,0.1153,4,-81.907,True,3.4513,-2.8048,1.3863,0.1383,1,3.4162,-2.6534,1.4511,0.1153,weak_height_geometry
83,128969.5,5,-85.569,True,3.3769,-2.657,1.4348,0.1231,4,-81.943,True,3.4192,-2.8133,1.3868,0.1537,1,3.4024,-2.6547,1.4454,0.1231,weak_height_geometry
84,129369.5,5,-84.974,True,3.4018,-2.6739,1.4107,0.1388,4,-81.25,True,3.4445,-2.8123,1.3868,0.1539,1,3.4022,-2.6614,1.4332,0.1388,weak_height_geometry
85,129772.0,5,-84.676,True,3.3843,-2.6751,1.3967,0.137,5,-82.857,True,3.4544,-2.8078,1.3917,0.1217,2,3.4205,-2.7127,1.4187,0.1217,weak_height_geometry
86,130212.0,5,-84.842,True,3.3699,-2.6759,1.3848,0.1251,5,-84.511,True,3.4407,-2.8266,1.3967,0.1154,2,3.4275,-2.7525,1.411,0.1154,weak_height_geometry
87,130492.0,5,-85.701,True,3.3987,-2.6514,1.413,0.102,5,-82.625,True,3.465,-2.8027,1.4052,0.1148,2,3.4407,-2.7701,1.4089,0.1148,weak_height_geometry
88,130969.5,4,-83.96,True,3.415,-2.6193,1.5103,0.1223,5,-83.88,True,3.4728,-2.7957,1.4108,0.1162,2,3.4519,-2.779,1.4096,0.1162,weak_height_geometry
89,131369.5,4,-84.024,True,3.422,-2.6404,1.5097,0.1178,5,-83.036,True,3.4676,-2.7876,1.426,0.1075,2,3.4574,-2.782,1.4153,0.1075,weak_height_geometry
90,131769.5,4,-83.507,True,3.4236,-2.6319,1.4802,0.1244,5,-83.65,True,3.4487,-2.7886,1.4435,0.0923,2,3.4544,-2.7843,1.4252,0.0923,weak_height_geometry
91,131969.5,4,-84.352,True,3.4138,-2.632,1.4767,0.1231,5,-83.287,True,3.4468,-2.7802,1.4283,0.0972,2,3.4517,-2.7829,1.4263,0.0972,weak_height_geometry
92,132290.0,4,-84.09,True,3.4057,-2.6281,1.4681,0.1254,5,-82.686,True,3.4446,-2.7883,1.3996,0.107,2,3.4492,-2.7848,1.4169,0.107,weak_height_geometry
