epoch,timestamp_ms,tag1_anchor_count,tag1_avg_rssi,tag1_solve_ok,tag1_x,tag1_y,tag1_z,tag1_rmse_m,tag2_anchor_count,tag2_avg_rssi,tag2_solve_ok,tag2_x,tag2_y,tag2_z,tag2_rmse_m,fused_tag,fused_x,fused_y,fused_z,fused_rmse_m,flags
0,69490.0,4,-85.593,True,5.6133,-2.4952,1.6906,0.3542,5,-81.801,True,2.6393,-2.8684,2.5234,1.5402,1,5.6133,-2.4952,1.6906,0.3542,weak_height_geometry
1,69790.0,4,-85.611,True,5.6027,-2.4617,1.668,0.3682,5,-84.039,True,2.2747,-2.6588,1.8991,1.0842,1,5.6096,-2.4835,1.6827,0.3682,weak_height_geometry
2,70172.0,4,-83.975,True,2.5346,-2.2825,1.4333,0.1578,4,-83.811,True,2.3557,-2.6212,1.413,0.164,1,,,,0.1578,fused_jump_rejected
3,70492.5,4,-84.429,True,2.3273,-2.0585,1.4796,0.1628,4,-80.912,True,2.1849,-2.2538,1.4841,0.1567,1,,,,0.1628,fused_jump_rejected
4,70790.5,3,-82.041,False,,,,,4,-81.429,True,2.0842,-2.0976,1.5021,0.183,2,2.0842,-2.0976,1.5021,0.183,tag1_no_3d_fix;tag2_saves_epoch;trajectory_reset_after_gap;weak_height_geometry
5,71165.0,3,-83.123,False,,,,,4,-81.952,True,1.8812,-1.8188,1.5189,0.1519,2,2.0131,-2.0,1.508,0.1519,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
6,71665.0,3,-78.417,False,,,,,4,-79.829,True,1.5772,-1.2106,1.56,0.1406,2,1.8606,-1.7237,1.5262,0.1406,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
7,71885.0,3,-74.994,False,,,,,4,-78.97,True,1.4806,-1.0339,1.5954,0.1284,2,1.7276,-1.4823,1.5504,0.1284,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
8,72265.0,3,-71.997,False,,,,,4,-79.917,True,1.2397,-0.7381,1.6233,0.1299,2,1.5568,-1.2218,1.5759,0.1299,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
9,72567.5,3,-72.07,False,,,,,5,-80.906,True,1.201,-0.7144,1.59,0.4884,2,1.4323,-1.0442,1.5809,0.4884,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
10,72997.5,4,-72.794,True,0.9563,-0.2519,1.6466,0.8674,4,-78.809,True,0.9345,-0.4385,1.767,0.0018,2,1.258,-0.8322,1.646,0.0018,
11,73367.0,4,-76.906,True,0.6686,-0.1783,1.66,0.8277,4,-75.656,True,0.8189,-0.3086,1.9296,0.0292,2,1.1043,-0.649,1.7453,0.0292,
12,73567.0,4,-76.567,True,0.6142,-0.1313,1.6674,0.3617,4,-75.451,True,0.7091,-0.2951,2.1035,0.0393,2,0.966,-0.5251,1.8706,0.0393,
13,73967.0,4,-76.998,True,0.5334,-0.0562,1.6785,0.1874,4,-75.049,True,0.5793,-0.2531,1.8386,0.0541,2,0.8307,-0.4299,1.8594,0.0541,
14,74387.5,4,-75.63,True,0.4641,-0.0199,1.6882,0.0983,4,-74.781,True,0.4913,-0.3003,1.8533,0.0915,2,0.7119,-0.3845,1.8573,0.0915,
15,74667.0,4,-73.775,True,0.4078,-0.0154,1.691,0.1155,4,-73.533,True,0.4331,-0.2921,1.4919,0.0981,2,0.6143,-0.3522,1.7294,0.0981,
16,75174.5,4,-72.311,True,0.3059,-0.1048,1.6904,0.2244,5,-77.51,True,0.4391,-0.4669,1.6137,0.802,1,0.5064,-0.2656,1.7158,0.2244,weak_height_geometry
17,75397.5,4,-74.771,True,0.2888,-0.124,1.6885,0.2359,4,-74.908,True,0.4121,-0.3571,1.6064,0.088,2,0.4734,-0.2976,1.6775,0.088,
18,75767.0,3,-83.847,False,,,,,4,-73.554,True,0.3704,-0.3481,1.6435,0.0955,2,0.4373,-0.3153,1.6656,0.0955,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
19,76267.0,3,-83.747,False,,,,,4,-73.824,True,0.336,-0.3681,1.6525,0.0982,2,0.4019,-0.3338,1.661,0.0982,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
20,76587.5,3,-83.263,False,,,,,4,-74.754,True,0.3311,-0.3709,1.6521,0.0991,2,0.3771,-0.3468,1.6579,0.0991,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
21,76990.0,3,-77.9,False,,,,,4,-75.55,True,0.3982,-0.3395,1.6305,0.071,2,0.3845,-0.3442,1.6483,0.071,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
22,77265.0,3,-76.361,False,,,,,4,-77.733,True,0.4203,-0.2882,1.4817,0.0416,2,0.397,-0.3246,1.59,0.0416,tag1_no_3d_fix;tag2_saves_epoch
23,77695.5,3,-77.634,False,,,,,4,-78.064,True,0.475,0.0264,1.0417,0.0085,2,0.4243,-0.2018,1.3981,0.0085,tag1_no_3d_fix;tag2_saves_epoch
24,77970.0,3,-77.954,False,,,,,4,-79.038,True,0.5693,0.3832,0.7966,0.0071,2,0.475,0.003,1.1876,0.0071,tag1_no_3d_fix;tag2_saves_epoch
25,78265.0,3,-78.631,False,,,,,4,-79.147,True,0.5814,0.5381,0.7257,0.0147,2,0.5123,0.1903,1.0259,0.0147,tag1_no_3d_fix;tag2_saves_epoch
26,78568.0,2,-73.467,False,,,,,4,-81.032,True,0.6111,0.683,0.6072,0.0088,2,0.5468,0.3627,0.8794,0.0088,tag1_no_3d_fix;tag2_saves_epoch
27,78983.0,2,-74.967,False,,,,,4,-79.383,True,0.8268,0.888,0.434,0.0293,2,0.6448,0.5466,0.7235,0.0293,tag1_no_3d_fix;tag2_saves_epoch
28,79385.5,3,-77.796,False,,,,,4,-79.985,True,0.7613,1.6495,0.1678,0.0323,2,,,,0.0323,tag1_no_3d_fix;tag2_saves_epoch;fused_jump_rejected
29,79665.0,3,-76.983,False,,,,,4,-82.122,True,0.7592,1.8636,-0.0449,0.0281,2,,,,0.0281,tag1_no_3d_fix;tag2_saves_epoch;fused_jump_rejected
30,80089.5,4,-81.947,True,2.0238,-0.362,-0.2887,1.4373,5,-84.249,True,0.9079,2.0706,-0.3,1.3069,2,0.9079,2.0706,-0.3,1.3069,trajectory_reset_after_gap;height_jump_warning;high_residual_warning
31,80569.5,4,-79.479,True,0.9952,2.5194,0.3695,0.1024,5,-82.817,True,0.8375,2.5762,-0.3,0.2768,2,0.8833,2.2476,-0.3,0.2768,
32,80772.0,5,-79.316,True,0.9291,2.7275,0.4331,0.8402,5,-81.43,True,0.7439,2.8865,-0.1056,0.0249,2,0.8345,2.4712,-0.232,0.0249,
33,81172.0,5,-78.62,True,0.8031,3.2223,0.7949,0.3027,5,-81.688,True,0.5827,3.3302,0.1336,0.0481,2,0.7464,2.7718,-0.104,0.0481,
34,81592.0,5,-77.972,True,0.6856,3.4266,1.2314,0.1561,5,-81.814,True,0.6496,3.8383,0.0838,0.1146,2,0.7125,3.1451,-0.0383,0.1146,
35,81872.0,5,-79.537,True,0.6794,3.7811,1.545,0.0916,5,-80.155,True,0.7114,3.9799,0.1295,0.1135,2,0.7121,3.4373,0.0205,0.1135,
36,82372.0,5,-80.609,True,0.8115,4.197,2.7121,0.0781,5,-82.513,True,0.8842,4.3083,0.1118,0.1765,2,0.7723,3.7421,0.0524,0.1765,
37,82692.0,5,-78.859,True,0.7605,4.4163,2.5724,0.0718,5,-81.816,True,0.7067,4.7072,0.4267,0.0952,2,0.7494,4.0799,0.1834,0.0952,
38,83072.0,5,-80.91,True,0.7753,4.7842,2.5296,0.0612,5,-79.306,True,0.7329,5.0211,0.5003,0.1316,2,0.7436,4.4093,0.2943,0.1316,
39,83472.0,5,-79.915,True,1.1136,5.2257,3.319,0.1717,5,-80.729,True,0.8569,5.28,0.3197,0.1444,2,0.7832,4.714,0.3032,0.1444,
40,83892.0,5,-81.069,True,1.1226,5.4319,3.3553,0.1437,5,-80.976,True,0.9483,5.8983,0.1906,0.1794,2,,,,0.1794,fused_jump_rejected
41,84192.0,5,-81.153,True,1.0923,5.6251,3.3354,0.1405,5,-81.147,True,0.9457,6.2476,0.2777,0.2071,2,,,,0.2071,fused_jump_rejected
42,84672.0,5,-80.944,True,1.1402,6.145,3.4337,0.1225,5,-80.788,True,0.9086,6.6284,0.478,0.1767,2,0.9086,6.6284,0.478,0.1767,trajectory_reset_after_gap
43,84892.0,5,-81.517,True,1.1286,6.3241,3.4377,0.1316,5,-80.438,True,0.8627,6.8,0.5145,0.1437,2,0.8925,6.6885,0.4907,0.1437,
44,85192.0,5,-80.892,True,1.0109,6.7057,3.392,0.1157,5,-78.659,True,0.818,6.9648,0.5189,0.1624,2,0.8664,6.7852,0.5006,0.1624,
45,85672.0,5,-81.638,True,0.8887,7.0428,3.2194,0.1154,5,-79.274,True,0.6798,7.296,0.5488,0.2378,2,0.8011,6.964,0.5175,0.2378,
46,85972.0,5,-79.851,True,0.9134,7.1278,3.2097,0.1447,5,-78.883,True,0.6712,7.4589,0.6469,0.2277,2,0.7556,7.1372,0.5628,0.2277,
47,86492.0,5,-80.106,True,0.9508,7.3278,3.2159,0.1537,5,-79.895,True,0.7006,7.6887,0.7697,0.1718,2,0.7364,7.3302,0.6352,0.1718,
48,86772.0,5,-78.989,True,0.9507,7.4124,3.1996,0.1568,5,-79.964,True,0.6946,7.8149,0.8915,0.1591,2,0.7218,7.4998,0.7249,0.1591,
49,87172.0,5,-79.155,True,0.8909,7.6314,3.0755,0.1504,5,-80.158,True,0.7005,7.8836,0.9022,0.1701,2,0.7143,7.6342,0.787,0.1701,
50,87392.0,5,-78.49,True,0.8563,7.7005,3.0461,0.1332,5,-80.673,True,0.6725,7.9289,0.9653,0.1511,2,0.6997,7.7373,0.8494,0.1511,
51,87772.0,5,-77.728,True,0.7431,7.8128,2.757,0.1249,5,-80.034,True,0.6095,8.0273,1.0985,0.1444,2,0.6681,7.8388,0.9366,0.1444,
52,88272.0,5,-77.91,True,0.8257,7.9946,3.2059,0.262,5,-79.9,True,0.5468,8.1711,1.2233,0.1446,2,0.6257,7.9551,1.0369,0.1446,
53,88592.0,5,-77.496,True,0.7844,8.1369,3.17,0.2423,5,-79.008,True,0.5168,8.2657,1.2295,0.1728,2,0.5876,8.0638,1.1043,0.1728,
54,88992.0,5,-77.573,True,0.7599,8.1585,3.1177,0.1843,5,-80.172,True,0.4823,8.4311,1.2051,0.1676,2,0.5507,8.1923,1.1396,0.1676,
55,89472.0,5,-76.264,True,0.6917,8.3063,3.01,0.1553,5,-79.86,True,0.4548,8.6014,1.245,0.1985,2,0.5171,8.3355,1.1765,0.1985,
56,89692.0,5,-75.128,True,0.6632,8.3777,2.9838,0.1371,5,-81.5,True,0.4194,8.6397,1.2516,0.1809,2,0.4829,8.442,1.2028,0.1809,
57,89992.0,5,-76.646,True,0.6056,8.4815,2.8495,0.1218,5,-79.603,True,0.4049,8.685,1.2936,0.1915,2,0.4556,8.527,1.2346,0.1915,
58,90472.0,5,-76.862,True,0.6177,8.6286,2.9518,0.1523,5,-80.989,True,0.3814,8.7404,1.3231,0.1624,2,0.4296,8.6017,1.2656,0.1624,
59,90772.0,5,-77.412,True,0.6696,8.719,3.1155,0.2364,5,-80.803,True,0.394,8.8435,1.3303,0.1498,2,0.4172,8.6863,1.2882,0.1498,
60,91192.0,5,-77.65,True,0.6758,8.7666,3.1429,0.2613,5,-79.844,True,0.401,8.9551,1.3294,0.1862,2,0.4115,8.7804,1.3026,0.1862,
61,91572.0,5,-78.187,True,0.5702,8.8752,3.1268,0.1972,5,-79.469,True,0.387,8.9723,1.3764,0.1959,2,0.4029,8.8476,1.3284,0.1959,
62,91872.0,5,-78.474,True,0.4725,8.9214,3.1333,0.1694,5,-83.016,True,0.162,9.1355,1.5242,0.1857,2,0.3186,8.9483,1.397,0.1857,
63,92192.0,5,-78.509,True,0.3171,9.0003,3.0462,0.1627,5,-82.216,True,0.0926,9.1767,1.5771,0.1884,2,0.2395,9.0283,1.46,0.1884,
64,92772.0,5,-77.962,True,0.234,9.0292,3.0449,0.1244,5,-81.324,True,0.032,9.0971,1.6898,0.2033,2,0.1669,9.0524,1.5404,0.2033,
65,93072.0,5,-76.553,True,0.1664,9.0533,2.9308,0.096,5,-80.408,True,-0.0537,9.1909,1.6609,0.1741,2,0.0897,9.1009,1.5826,0.1741,
66,93492.0,5,-76.125,True,0.1607,9.0717,2.9451,0.0868,5,-81.79,True,-0.2414,9.2463,1.6226,0.1348,2,-0.0262,9.1518,1.5966,0.1348,
67,93692.0,5,-76.805,True,0.1725,9.0875,2.9656,0.0789,5,-81.987,True,-0.2103,9.2567,1.6162,0.1654,2,-0.0906,9.1885,1.6035,0.1654,
68,94172.0,5,-75.975,True,0.2085,9.159,3.0689,0.1173,5,-80.728,True,-0.173,9.2746,1.6203,0.2076,2,-0.1195,9.2186,1.6094,0.2076,
69,94592.0,5,-77.584,True,0.2212,9.1916,3.0534,0.1173,5,-82.658,True,-0.1832,9.2658,1.6482,0.2053,2,-0.1418,9.2351,1.623,0.2053,
70,94892.0,5,-75.446,True,0.2207,9.2568,3.1319,0.1182,5,-81.447,True,-0.2189,9.3367,1.6098,0.1919,2,-0.1688,9.2707,1.6184,0.1919,
71,95272.0,5,-77.37,True,0.228,9.3486,3.2242,0.1338,5,-82.343,True,-0.1189,9.51,1.6318,0.239,2,-0.1513,9.3544,1.6231,0.239,
72,95572.0,5,-77.477,True,0.2601,9.3827,3.3267,0.1415,5,-81.645,True,-0.0205,9.6381,1.6152,0.2099,2,-0.1055,9.4537,1.6203,0.2099,
73,95992.0,5,-76.574,True,0.2807,9.4669,3.4512,0.1291,5,-81.04,True,0.0269,9.7428,1.5999,0.1844,2,-0.0592,9.5549,1.6132,0.1844,
74,96272.0,5,-75.972,True,0.2582,9.513,3.504,0.1226,5,-81.276,True,-0.1409,9.8889,1.5505,0.1582,2,-0.0878,9.6718,1.5912,0.1582,
